session_id,student_id,persona,event_id,event_type,ts_iso,ts_ms,session_offset_ms,wave_number,question_id,subject,difficulty,correct,response_time_ms,context,tower_type,tile_col,tile_row,gold_spent,old_level,new_level,success,difficulty_jump,total_enemies,enemies_killed,enemies_leaked,interest,bonus_gold,synergy_id,synergy_name,enemy_type,knowledge_component,reward,live_cost,lives_remaining,amount,remaining_prep_time
session_1776328631456.5_4afmav,student_w1_001,average_student,evt_1776328631602_oq2,phase_start,2026-04-16T08:37:11.602Z,1776328631602,145.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776328631456.5_4afmav,student_w1_001,average_student,evt_1776328632137.5_2hk,hypothesis_selected,2026-04-16T08:37:12.137Z,1776328632137.5,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776328631456.5_4afmav,student_w1_001,average_student,evt_1776328632143.5_cr8,phase_start,2026-04-16T08:37:12.143Z,1776328632143.5,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776328631456.5_4afmav,student_w1_001,average_student,evt_1776328643216.5_zzh,wrong_tool,2026-04-16T08:37:23.218Z,1776328643218,11761.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776328631456.5_4afmav,student_w1_001,average_student,evt_1776328643264.5_qdl,wrong_tool,2026-04-16T08:37:23.264Z,1776328643264.5,11808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776328631456.5_4afmav,student_w1_001,average_student,evt_1776328643302_kd0,wrong_tool,2026-04-16T08:37:23.302Z,1776328643302,11845.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776328631456.5_4afmav,student_w1_001,average_student,evt_1776328649834.5_djn,equipment_confirmed,2026-04-16T08:37:29.834Z,1776328649834.5,18378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776328631456.5_4afmav,student_w1_001,average_student,evt_1776328649852.5_c60,phase_start,2026-04-16T08:37:29.852Z,1776328649852.5,18396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776328630149.5_be9o9d,student_w2_001,average_student,evt_1776328630677.5_jjm,phase_start,2026-04-16T08:37:10.677Z,1776328630677.5,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776328630149.5_be9o9d,student_w2_001,average_student,evt_1776328649919.5_9sz,hypothesis_selected,2026-04-16T08:37:29.919Z,1776328649919.5,19770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
